肯定是抑郁了😅  	肯定是抑郁了😅
大热天的是要暖死印度吗  	援印物资暖人心
大热天的是要暖死印度吗  	怎么没人说话
大热天的是要暖死印度吗  	投降派确实有
大热天的是要暖死印度吗  	我印象里中国红十字唯一一次正面的报道
大热天的是要暖死印度吗  	红十字会，让我想到了郭美美
大热天的是要暖死印度吗  	原来是聚会啊，我还以为你把我给整不会了😅
大热天的是要暖死印度吗  	去年年初印度也象征性给过中国点物资，礼尚往来而已，稍给点没毛病
大热天的是要暖死印度吗  	疫苗自己都不够呢
大热天的是要暖死印度吗  	缅甸挡不住印度难民的
大热天的是要暖死印度吗  	可让🇻🇳装成一把
大热天的是要暖死印度吗  	为了天超体面
大热天的是要暖死印度吗  	红十字会啊
大热天的是要暖死印度吗  	大使不发推你还指望西方媒体帮我们宣传是吧，没有话语权的情况下你告诉我怎么宣传😅
大热天的是要暖死印度吗  	带国风范噢
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚的锤我燃着乌托邦的火我记得你杀人的枪我记得你囚奴的锁我是你心底的克苏鲁我是你梦中的伏地魔我见过被雕饰的空洞我听过被遗忘的沉默我闻到这根系的癌变我触到这枝叶的腐落我不要人变物的自由我不要物御人的快活我要焚你的圣殿我要熔你的王座我要闯群星的海我要立众民的国五百年的因五千年的果最后的斗争最初的承诺我来了，我来了跟着我，跟着我加速，加速转舵，转舵前进，前进力破，力破大风，大风烈火，烈火红旗在肩镰斧如火
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	没人
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	dd
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	你写的？
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	哈人🏃🏃
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	三個月內沒解放你們太哈人了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	好家伙，这么返动，太哈人了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	让你狂的
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	广场舞噪音扰民害我，贵阳报警多次没用
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	属于是有点哈人了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	好！
这也删  	我只能说先穿裤子再穿鞋，光着腚就别考虑穿搭了
这也删  	基因优化，化学极乐
这也删  	毛选第一卷90页，关于绝对平均主义，字都打不明白差不多得了
这言论给我看傻了。  	刚刚听到宿舍里有人高谈阔论抵制耐克的问题，一张嘴就是国家都没禁止，我买怎么了，耐克那么多员工，我不买耐克岂不是他们就要失业了？当初禁NBA没事啊，我可以去外网看，但是没禁耐克，那大家都不买那得多少人失业啊？我傻了，合着大伙都是麻瓜，人家才是真忧国忧民呐。
这言论给我看傻了。  	好好学习，做好打工的准备
这言论给我看傻了。  	让你抵制hm就好好地址，关耐克什么是？
这言论给我看傻了。  	狼来了说太多遍，大家也麻了
这言论给我看傻了。  	还抵制个毛线，你看看现在还有多少人讨论这些？
这言论给我看傻了。  	抵制，做好自己就行，上面干事还和闹着玩一样，nba还号称绝无回旋余地呢
这言论给我看傻了。  	说的好像不丢垃圾清洁工就失业了一样做生意，干工作都有风险，国外品牌做不了做国内呗，总不能好事全让你一个人占了
这言论给我看傻了。  	要是把竞品都赶走了，到时候买到劣品哭都没处哭
这言论给我看傻了。  	抵制个der，还不是该穿穿。上面做个姿态而已
大家一起传，红红火火大中国，气死那些黑子  	我可不认同肘子派们的观点
工人的工资永远只是维持最低生活水平和繁衍后代的成本，这一点并  	工人的工资永远只是维持最低生活水平和繁衍后代的成本，这一点并不会因为生产力的进步而改变。
工人的工资永远只是维持最低生活水平和繁衍后代的成本，这一点并  	劳动力再生产最低限额，有时甚至压低于基本生活资料限度
工人的工资永远只是维持最低生活水平和繁衍后代的成本，这一点并  	然而工人还有另一种选择，就像历史上那些前辈一样
工人的工资永远只是维持最低生活水平和繁衍后代的成本，这一点并  	一看就是读过资本论的人
工人的工资永远只是维持最低生活水平和繁衍后代的成本，这一点并  	现在已经反演不起🌶️😅
经典怪社会！ 不从你自身找问题  	😅
经典怪社会！ 不从你自身找问题  	学校能原谅学生自杀就不错了，死个人而已嘛，你不死我化学老师的好儿子怎么留学啊？
经典怪社会！ 不从你自身找问题  	快进到家长给学校道歉，堵校门口不是添麻烦吗？学校大门的地还要不要扫了？
经典怪社会！ 不从你自身找问题  	别尬黑，学校已经原谅家长了
经典怪社会！ 不从你自身找问题  	不让你家长给学校道歉就不错了
经典怪社会！ 不从你自身找问题  	快进到给学校造成恶劣影响先给校长赔偿500w，以便其子女更好的去外国消费
经典怪社会！ 不从你自身找问题  	转移话题了
经典怪社会！ 不从你自身找问题  	是我就去学校开刀战房了
经典怪社会！ 不从你自身找问题  	又在递刀子了
破防了  	破防了
破防了  	度🐶4000➕
破防了  	还不是自己不够努力
破防了  	他老公属实该沙
破防了  	这是干啥q没了
破防了  	赌狗不得house
破防了  	帖子怎么搜不到，有没有老哥发个链接，我捐点夜宵钱
破防了  	赌🐶有啥好说的？活该而已，还害了一家人
破防了  	走自己的道路，让那些三次元的大人说去吧！
破防了  	离婚吧
破防了  	这种离婚了我支持，但是女方可能又没赚钱养家的能力，日子可真难过
破防了  	毒狗真该死
破防了  	给不了一个好的环境不配生真的
破防了  	度🐶都有老婆？
破防了  	啊这
男女混宿，留学生：那不是更好吗？  	快来一起生黑宝宝。
男女混宿，留学生：那不是更好吗？  	什么非洲留学生
男女混宿，留学生：那不是更好吗？  	家长不许谈恋爱，黑哥：那不是更好吗，我还嫌甩不掉呢
看样子现在的学校比哥谭还可怕，在外面出了事能得到社会的帮助，  	看样子现在的学校比哥谭还可怕，在外面出了事能得到社会的帮助，在学校，不仅迅速掩盖消息，能拖死就拖死，谁帮处理谁。
看样子现在的学校比哥谭还可怕，在外面出了事能得到社会的帮助，  	我亲身经历，学校去年跳楼一个，学校为了封锁消息把救护车堵在门口。你可以自己去查河南财经政法大学，就去年的事情。早就麻了。
14.1，4kw，你们信吗？  	14.1，4kw，你们信吗？
14.1，4kw，你们信吗？  	😅
我也来打个拳  	干部是比群众多个眼睛还是多个嘴？凭什么它们有专用病房？？？
我也来打个拳  	你努力考上公务员会是这样?还不是不努力
我也来打个拳  	别尬黑，特色
我也来打个拳  	这样更好，没必要藏着掖着。她们本来就是仌。她们的待遇，包括退休待遇，一般人也不知道。
我也来打个拳  	他们是天龙人，拯救过世界的，这不是很正常
我也来打个拳  	把干部病房去了，他实际还在，解决不了实际问题。换句话说如果你看不到干部病房这四个字，说明我们已经根本接触不到高端医疗资源，医疗资源已经完全失衡了。
我也来打个拳  	特色
我也来打个拳  	说得好，这就去端了
我也来打个拳  	没有资本家可恶
我也来打个拳  	说得好，这就把你端了
我也来打个拳  	江山是人家或者人家的前辈打下来的，这点不是应该的嘛
我也来打个拳  	好拳！早该打这路拳了！
我也来打个拳  	差不多得了，下一步是不是就是军人绿色通道了？😅
我也来打个拳  	怎么，当年分的江山，现在就不乐意了？
XDM你们有这只🐭🐭努力吗  	建议给这只🐭🐭颁个荣誉称号
XDM你们有这只🐭🐭努力吗  	这是哪位吧友啊
XDM你们有这只🐭🐭努力吗  	在街上看见有人追着老鼠打。在路上看见被碾死的老鼠（也有其他生物）也不在少数。
XDM你们有这只🐭🐭努力吗  	泪目了，好感动
XDM你们有这只🐭🐭努力吗  	remark后的蛆宝宝
XDM你们有这只🐭🐭努力吗  	还是不够努力罢了！
XDM你们有这只🐭🐭努力吗  	然后被一记铁拳又砸回去
XDM你们有这只🐭🐭努力吗  	鼠鼠😭😭😭我的鼠鼠😭😭😭😭
XDM你们有这只🐭🐭努力吗  	第一眼看成了涂了硅脂的CPU
XDM你们有这只🐭🐭努力吗  	😭😭😭😭
XDM你们有这只🐭🐭努力吗  	为zg建设添砖加瓦
自然科学之间与哲学神学的关系  	而神学就是皇帝的精神粮食。所以最后大多数的物理学家都要步入神学，就像皇帝要追求长生不老一样。而数学公式也完美的体现了自然之美，所以说大数学家欧拉比相信上帝。
自然科学之间与哲学神学的关系  	！
不懂就问 他们说的是谁？  	他们说的是谁？
不懂就问 他们说的是谁？  	🐰🐰
不懂就问 他们说的是谁？  	后几句话太容易让人联想到猫了，听的时候就感觉不舒服
不懂就问 他们说的是谁？  	首先他已经把人群分为我们和他们，还能对我们说教什么呢
不懂就问 他们说的是谁？  	意思就是高考的时候监考老师说错了你就要说我答的是对的
不懂就问 他们说的是谁？  	钙剂之间，本来就没有对错，只有输赢。皇上错了吗，人家祖上打下的江山。黄世仁错了嘛，人家几代人的积累。对有什么用？只有输和赢，不要忘了领袖的指示
不懂就问 他们说的是谁？  	你不要命了？
不懂就问 他们说的是谁？  	当然是观察者网啦😅
不懂就问 他们说的是谁？  	洗，现在洗得越狠，未来醒了恨得越深
不懂就问 他们说的是谁？  	辩证法给这帮byd全丢完了。对立统一不存在了属于是
不懂就问 他们说的是谁？  	无所谓了，躺平了，什么时候开始gm就把这条命丢的有价值一点
不懂就问 他们说的是谁？  	你去反人类，你看看你对手是支持还是反对。是非观都不要了是吧，只争输赢？打擂台你去给对手下D嘛。
不懂就问 他们说的是谁？  	对就是对，错就是错，天王老子来了是错也是错的
不懂就问 他们说的是谁？  	反智主义再抬头
你喜欢第一个还是第二个？  	图来了
你喜欢第一个还是第二个？  	你应该加个1970年的
你喜欢第一个还是第二个？  	1900年or1961，这两张也挺著名。
你喜欢第一个还是第二个？  	你要我从男桐跟纳粹里面选一个？那我只能选男桐。
你喜欢第一个还是第二个？  	第一个纳粹会把你个黄猴子拖去洗瓦斯澡，第二个纯娘炮。
你喜欢第一个还是第二个？  	fxs和男同？发这b图的人不是蠢就是坏
你喜欢第一个还是第二个？  	🥵🥵🥵我要第二个！我要把舌头伸他嘴里！快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我快给我
有个问题，是不是都嫌躺平赚的少啊才老觉得自己是资本家赚钱的工具  	理性讨论
对比一下四川另一个地方学生死亡事件的官方通报  	成都这个通报不是随便乱写出来糊弄人的？😅成都真的赢麻了
对比一下四川另一个地方学生死亡事件的官方通报  	真的哈人
对比一下四川另一个地方学生死亡事件的官方通报  	不敢去成都玩了
富强民主文明和谐自由平等公正法治爱国敬业诚信友善（老圣经）  	富强民主文明和谐自由平等公正法治爱国敬业诚信友善（老圣经）
在超市门口看见的  	😡😡😡
在超市门口看见的  	全面下的漏网之鱼罢了
在超市门口看见的  	我实习那天搬房子，也是累的躺在地上好久
在超市门口看见的  	什么图片?我怎么刷不出来?
在超市门口看见的  	过得不比美国中产阶级差
在超市门口看见的  	感恩
在超市门口看见的  	休息一下怎么了，总比住在街头的美国好
在超市门口看见的  	一看就是偷懒
在超市门口看见的  	这👟就不可能是流浪汉
在超市门口看见的  	是不是喝高了
在超市门口看见的  	快去叫他起来给老板打工
在超市门口看见的  	工地边上多的是这么睡的
在超市门口看见的  	不会吧
如何评论兔友对佐人和共趣人的看法？  	这是否有点😅
如何评论兔友对佐人和共趣人的看法？  	挺好
如何评论兔友对佐人和共趣人的看法？  	蛆言蛆语一眼反串
如何评论兔友对佐人和共趣人的看法？  	县中的欲望也会高涨
如何评论兔友对佐人和共趣人的看法？  	每次看见兔友，我就想吃麻辣兔头😋
如何评论兔友对佐人和共趣人的看法？  	笑死了直升机😆皮大帅觉得赞嗷😆😆
如何评论兔友对佐人和共趣人的看法？  	共趣？是什么意思
如何评论兔友对佐人和共趣人的看法？  	图图全世界，全世界兔兔耶✌
如何评论兔友对佐人和共趣人的看法？  	说的太对了，兔友，网←，共趣壬早该被一起图图了
如何评论兔友对佐人和共趣人的看法？  	个人经历，越是恨左的将来工作后越是容易成为左。
如何评论兔友对佐人和共趣人的看法？  	一直为和网友观点不一致而迷茫，今天我终于顿悟了，化身🐠友和我无关的事看完就忘掉，只要我忘得够快，烦恼就追不上我
如何评论兔友对佐人和共趣人的看法？  	反正我感觉兔友不是蠢就是坏
看了七普  	新时代要来了
看了七普  	只不过不是我们鼠鼠的😅
看了七普  	系统你好温柔
你看现在谁还关心RK普查  	赢麻了
爱因斯坦怎么评价  	物理学t1
爱因斯坦怎么评价  	如果不是他的理论催生出了核弹，那么世界上的战争会更多
爱因斯坦怎么评价  	从学术上他是个天才，从人品上他就是个人渣
爱因斯坦怎么评价  	他敢在这说吗
爱因斯坦怎么评价  	这是实话，改批评就批评
爱因斯坦怎么评价  	呵呵，不敢说，反正他对你的国家评价很差！
爱因斯坦怎么评价  	他这话我是赞同的，要是大家水平都高一点，不摆烂，就不需要那么崇拜人家了
爱因斯坦怎么评价  	他都不相信人类拥有自由，当然我也不信
爱因斯坦怎么评价  	小爱上海乳过化的
爱因斯坦怎么评价  	这位是真乳了
爱因斯坦怎么评价  	老大哥正在看着你。
爱因斯坦怎么评价  	你配评价
爱因斯坦怎么评价  	社会主义者
爱因斯坦怎么评价  	右边那谁啊
漩涡帮的女打手？  	🐴没特效，这漂亮吗？美颜不是有手就行？
漩涡帮的女打手？  	秒极
漩涡帮的女打手？  	这女的长的跟豹女似的
漩涡帮的女打手？  	什么异形大战铁血战士？
漩涡帮的女打手？  	什么烂蛆
漩涡帮的女打手？  	明明是动物帮
2021清华大学吧吧务招募  	遵守本吧吧规，愿意维护本吧的舆论环境。欢迎各位THUer积极报名
2021清华大学吧吧务招募  	报名的小伙伴请打开私信，方便联系哦
2021清华大学吧吧务招募  	前排支持。
2021清华大学吧吧务招募  	😅看不起我博士生是吧，准没你好果子吃
2021清华大学吧吧务招募  	总算回归正常了
2021清华大学吧吧务招募  	我们🐭🐭可以当吧务吗
2021清华大学吧吧务招募  	不懂就问，吧务有奖金吗？
2021清华大学吧吧务招募  	支持（趴）
2021清华大学吧吧务招募  	不懂就问，贴吧还有人吗现在。
2021清华大学吧吧务招募  	支持😊😊😊
2021清华大学吧吧务招募  	就这
2021清华大学吧吧务招募  	支持！但不报名了。
2021清华大学吧吧务招募  	支持，不怕吧务的🐭人已经不是一般的🐭人了
2021清华大学吧吧务招募  	可惜我是博士生
暖心  	恶意讨薪😅
暖心  	少了的国家来补?
暖心  	这下均了
暖心  	确实，用平均数来说话就有点离谱，就算用也用中位数啊
暖心  	120个左右
暖心  	都让你暖完了是吧😅
暖心  	马云如果宣布自己也是农民工，数据马上大变
暖心  	等于多少爽
暖心  	我寄吧三年没涨了😄💧
暖心  	又想起前一阵那个日薪208万的了，估计她肯定比农民工努力15000倍吧
暖心  	这增长率还好意思说？能赶上通胀吗呵呵
暖心  	110*
暖心  	tm赶得上通膨吗*
2.5亿已经穿帮的太明显了  	我也不知道”
这b事确实是给普查压热度的  	这事难道不比普查更令人心寒？
呜呜，张❤🐟把我的帖子删了，我手打一个小时的啊😭还封我账号雨  	呜呜，张❤🐟把我的帖子删了，我手打一个小时的啊😭还封我账号雨天😭😭😭
呜呜，张❤🐟把我的帖子删了，我手打一个小时的啊😭还封我账号雨  	😭😭😭😭😭
呜呜，张❤🐟把我的帖子删了，我手打一个小时的啊😭还封我账号雨  	比赛期间少水帖
别的吧看到的  	真有这个不等式吗￥2000>$3000
别的吧看到的  	这叫购买力比如2000块可以…呃…买那啥，然后3000刀买不了那啥，对了两千块可以在买一个工人干一个月，3000刀可做不到，你看是不是2000块>3000刀啊
别的吧看到的  	，兔兔的逻辑
别的吧看到的  	人家说的是幸福感。。在中国就是会比美国幸福，经典不看全视频
别的吧看到的  	我幸福好几倍
别的吧看到的  	可不敢不幸福
别的吧看到的  	可不敢乱说，我姓服，姓服
别的吧看到的  	背后的原因让人暖心
别的吧看到的  	著名的陈平不等式😅🤗🤗🤗
别的吧看到的  	我对祖国只有感恩
你无辜吗？  	？
你无辜吗？  	没有一个蛭蛭是无辜的
这也是清美的学姐吗  	😅😅😅
这也是清美的学姐吗  	😅
这也是清美的学姐吗  	😅
这也是清美的学姐吗  	？
这也是清美的学姐吗  	给个链接，用户名搜不到
这也是清美的学姐吗  	？
这也是清美的学姐吗  	烧牌一个罢了
这也是清美的学姐吗  	笑嘻了家人们
这也是清美的学姐吗  	批站大会员什么成分😅
这也是清美的学姐吗  	阿水和左手cp粉😅
这也是清美的学姐吗  	什么傻软
这也是清美的学姐吗  	天龙院是你该过问的
这也是清美的学姐吗  	歧视工人？举报到清华教务处去，取消她学籍
别魔征了好吗？  	天天发，现在看很多人不那么幸福我竟有一丝开心
别魔征了好吗？  	加速，最后胜利的一定是人民！
别魔征了好吗？  	敌人越是反对的，说明我们做对了，加速吧，开始毛选马恩开始大量的传播而已，这些只是开始
别魔征了好吗？  	魔怔都是人上人
别魔征了好吗？  	殆而
别魔征了好吗？  	魔怔人，魔怔魂，魔怔都是人上人
贴吧拜拜👋🏻  	存地失人，人地皆失，所有的号都没了，去知乎了😅
贴吧拜拜👋🏻  	封多久？我封过三天
贴吧拜拜👋🏻  	贴吧还好那号是不知道第几个号了
贴吧拜拜👋🏻  	我第三个号了，还不知道这个号能撑多久
贴吧拜拜👋🏻  	相比下知乎小管家比贴吧更抽风一点…
贴吧拜拜👋🏻  	在墙内去哪里都一样，还是去游关和腿忒，
贴吧拜拜👋🏻  	我就是知乎过来的
贴吧拜拜👋🏻  	红迪chonglangtv见
贴吧拜拜👋🏻  	拜拜就拜拜吧！
贴吧拜拜👋🏻  	都一样
贴吧拜拜👋🏻  	贴吧被永锋，知乎你一个月怕是只有两天能说话。
贴吧拜拜👋🏻  	哈哈，资乎根本说不了话
贴吧拜拜👋🏻  	拉倒吧，资乎还严重一些，搞wzy
贴吧拜拜👋🏻  	懂？你脚下的这片热土拥有世界第一公路里程13.1万公里拥有世界第一高铁里程2.2万公里拥有世界第一光缆里程3041万公里拥有世界第一移动支付金额208万亿拥有世界第一的人才资源1.75亿人拥有世界第一发明申请量＞100万拥有世界第一年均脱贫量1391万人拥有世界第二科研费用1.57万亿拥有世界第一的架桥技术拥有世界第一的巨型水电站建设技术拥有世界第一的高原铁路建设技术拥有世界第一的量子通讯技术拥有世界第一的高铁及动车建造技术拥有世界第一的特高压输电技术拥有世界第一的激光技术拥有世界第一的超级计算机技术拥有世界第一的陶瓷生产技术世界前10斜拉桥中国占7座世界10个超大港口中国占7个世界前10悬索桥中国占6个GDP超过万亿的城市中国占12个中国目前城镇化已达到57.35％这就是你的祖国，这就是你的家有五星红旗飘扬的地方，就是家的地方那个曾经被视为落后腐朽代名词的中国早已不复返那个曾被视为东亚病夫的中国早已一去不复返那个曾被西方各国随意欺辱的中国早已一去不复返那个曾被各国垄断技术的中国早已一去不复返那个十万青年热血砌出来的钢铁中华将长久傲立于东方中国在国际上面对非难的从容不迫彰显出了大国实力和魄力她正以稳健的步伐迈向一个崭新而辉煌的时代我们爱国人身后都一面红旗，她的名字叫中国🇨🇳
贴吧拜拜👋🏻  	感谢抗吧bw救我狗命，在这里表示感谢谢谢啦
😅  	zay真有你的
如何看待中国观众对《寄生虫》这部电影的评价？  	中国观众对于电影中表现的阶级对立的部分的理解程度普遍弱于美国观众且中国观众认为穷人一家这么有能力不可能穷，富人不可能这么单纯更无法理解穷人父亲最后捅富人父亲那一刀的动机
如何看待中国观众对《寄生虫》这部电影的评价？  	特色罢了
如何看待中国观众对《寄生虫》这部电影的评价？  	思想都被控制的，还能指望怎么理解？
如何看待中国观众对《寄生虫》这部电影的评价？  	本来就是，中国可根他们不一样。中国的天是自己打出来的，他们是跪来的，半卦国
如何看待中国观众对《寄生虫》这部电影的评价？  	你跟一群太监说房事，恍如说天书
如何看待中国观众对《寄生虫》这部电影的评价？  	细说电影剧情
如何看待中国观众对《寄生虫》这部电影的评价？  	很多韩国电影题材大胆，直接抨击人性和社会，可似乎未起太大作用，大家对韩国财阀和其权利机关如何看待？很多美国电影题材大胆，直接抨击人性和社会，可似乎未起太大作用，大家对美国大资本家和其权利机关如何看待？很多日本漫画题材大胆，直接抨击人性和社会，可似乎未起太大作用，大家对日本财阀和其权利机关如何看待？上世纪很多港台电影题材大胆，直接抨击人性和社会，可似乎未起太大作用，大家对港台资本家和其权利机关如何看待？很多泰国电影题材大胆，直接抨击人性和社会，可似乎未起太大作用，大家对泰国国王、军队和其权利机关如何看待？
如何看待中国观众对《寄生虫》这部电影的评价？  	老美那边是已经阶级固化的，这种固化不是藏着掖着的。而是明明白白摆在明面上的。美国人也知道阶级固化。知道资本家剥削他们。所以美国国内才有那么多，针对富人的阴谋论，以至于到了反智的地步。但老美的资本家相当聪明，将底层的大矛盾分割成一堆小矛盾，让你有劲没处使。国内因为刻意淡漠阶级概念，以及努力神教的洗礼。对于阶级的敏感性已经变得非常之低。(想想过去一堆无产者国内把马云叫爹的场景)
如何看待中国观众对《寄生虫》这部电影的评价？  	特色
如何看待中国观众对《寄生虫》这部电影的评价？  	其实我并不喜欢寄生虫，这电影最大问题就是把穷人表现得太恶劣，把富人渲染成傻白甜，典型财阀国家的价值观导向，表面上在讲贫富差距，实际上宣传的还是社达主义
如何看待中国观众对《寄生虫》这部电影的评价？  	车力虱论韩国：偷！跪！财阀！
如何看待中国观众对《寄生虫》这部电影的评价？  	渔民武术起作用了
如何看待中国观众对《寄生虫》这部电影的评价？  	其实没有所谓愚民，被骗的基本上是生活没什么担忧的
如何看待中国观众对《寄生虫》这部电影的评价？  	需要教员的书可以进我主页帖子获取
如何看待中国观众对《寄生虫》这部电影的评价？  	寄生虫还得看那带色的
有人记得这个吗？  	说这个孩子平时在学校很乖啥的……
有人记得这个吗？  	学校帮忙掩护
有人记得这个吗？  	网民就像鱼，记忆只有三分钟
这是聪明人才看得到的  	帖子
这是聪明人才看得到的  	qmyfzg
这是聪明人才看得到的  	不敢说，已经被抗吧吧务封了一天了
这是聪明人才看得到的  	^_^♪，你看到了
这是聪明人才看得到的  	我🌹为📱看不到
这是聪明人才看得到的  	愿中国的青年
这是聪明人才看得到的  	老子就是法，治得就是敏
如何评价我国生育率降低问题？  	rt
如何评价我国生育率降低问题？  	好降
如何评价我国生育率降低问题？  	什么违章动物
你们小学生继续卷，我不生了  	有没有懂哥翻译一下
你们小学生继续卷，我不生了  	太哈人了
你们小学生继续卷，我不生了  	这什么意思
你们小学生继续卷，我不生了  	不差你这一茬韭菜
你们小学生继续卷，我不生了  	小孩明天就跳楼
你们小学生继续卷，我不生了  	五浊恶世正常现象
你们小学生继续卷，我不生了  	昨晚梦见大家都在追求平等，而不是成为人上人😭
你们小学生继续卷，我不生了  	小孩：简单跳个楼😇
你们小学生继续卷，我不生了  	啥意思？
你们小学生继续卷，我不生了  	蚌埠住了
你们小学生继续卷，我不生了  	蚌埠住了
你们小学生继续卷，我不生了  	小孩已经开启献忠模式，这个人要小心啊😅
你们小学生继续卷，我不生了  	笑嘻了，本科文凭上等人
你们小学生继续卷，我不生了  	啥b
以后大家会一个人吗，一直单身一直爽  	蚌埠住了
以后大家会一个人吗，一直单身一直爽  	生个病没人管的感觉还是糟透了
以后大家会一个人吗，一直单身一直爽  	单身还是不太行，找个丁克不要孩子就完美了
以后大家会一个人吗，一直单身一直爽  	第七次人口普查数据将在四月上旬公布
以后大家会一个人吗，一直单身一直爽  	躺平就完了
以后大家会一个人吗，一直单身一直爽  	应该会。不想迁就别人，也不想让孩子来到这世界上走我这样的路，太累了
以后大家会一个人吗，一直单身一直爽  	好好滴引进（指外来高端人才），老爷有赏啊！！
以后大家会一个人吗，一直单身一直爽  	出生人口就要跌破1000万了。
以后大家会一个人吗，一直单身一直爽  	每天忙的不着家，担心孩子长大像老王
以后大家会一个人吗，一直单身一直爽  	快进到交单身税
以后大家会一个人吗，一直单身一直爽  	结不结婚之前，先思考下，自己有钱嘛？自己长得帅嘛？自己双商高吗？如果没有，那就只能单着了
以后大家会一个人吗，一直单身一直爽  	还是别独居吧，至少也可以找人合居个大点的房子，不然人回家就一个人，太孤独了，没人说话，老了肯定多少会痴呆
为什么？因为一旦出现数字49  	不能要求他们和微薄一样删号禁言就麻烦了
为什么？因为一旦出现数字49  	因为成都上大分啊
这2ch也是魔怔吧吗？天天药丸，和神油反面，互为镜像，都是二  	这2ch也是魔怔吧吗？天天药丸，和神油反面，互为镜像，都是二极管呗
这2ch也是魔怔吧吗？天天药丸，和神油反面，互为镜像，都是二  	这个互联网有不魔怔的地方吗
这2ch也是魔怔吧吗？天天药丸，和神油反面，互为镜像，都是二  	因为绝望吧
这2ch也是魔怔吧吗？天天药丸，和神油反面，互为镜像，都是二  	不讨论敏感话题就不会
